38;1457;'CAMAROES';"builder.HasData( new PaisEntity { ID = 38, Nome = 'CAMAROES',CdSis = 1457 } );";;;;
39;1490;'CANADA';"builder.HasData( new PaisEntity { ID = 39, Nome = 'CANADA',CdSis = 1490 } );";;;;
40;1504;'GUERNSEY, ILHA DO CANAL (INCLUI ALDERNEY E SARK)';"builder.HasData( new PaisEntity { ID = 40, Nome = 'GUERNSEY, ILHA DO CANAL (INCLUI ALDERNEY E SARK)',CdSis = 1504 } );";;;;
41;1508;'JERSEY, ILHA DO CANAL';"builder.HasData( new PaisEntity { ID = 41, Nome = 'JERSEY, ILHA DO CANAL',CdSis = 1508 } );";;;;
42;1511;'CANARIAS, ILHAS';"builder.HasData( new PaisEntity { ID = 42, Nome = 'CANARIAS, ILHAS',CdSis = 1511 } );";;;;
43;1538;'CAZAQUISTAO, REPUBLICA DO';"builder.HasData( new PaisEntity { ID = 43, Nome = 'CAZAQUISTAO, REPUBLICA DO',CdSis = 1538 } );";;;;
44;1546;'CATAR';"builder.HasData( new PaisEntity { ID = 44, Nome = 'CATAR',CdSis = 1546 } );";;;;
45;1589;'CHILE';"builder.HasData( new PaisEntity { ID = 45, Nome = 'CHILE',CdSis = 1589 } );";;;;
46;1600;'CHINA, REPUBLICA POPULAR';"builder.HasData( new PaisEntity { ID = 46, Nome = 'CHINA, REPUBLICA POPULAR',CdSis = 1600 } );";;;;
47;1619;'FORMOSA (TAIWAN)';"builder.HasData( new PaisEntity { ID = 47, Nome = 'FORMOSA (TAIWAN)',CdSis = 1619 } );";;;;
48;1635;'CHIPRE';"builder.HasData( new PaisEntity { ID = 48, Nome = 'CHIPRE',CdSis = 1635 } );";;;;
49;1651;'COCOS(KEELING),ILHAS';"builder.HasData( new PaisEntity { ID = 49, Nome = 'COCOS(KEELING),ILHAS',CdSis = 1651 } );";;;;
50;1694;'COLOMBIA';"builder.HasData( new PaisEntity { ID = 50, Nome = 'COLOMBIA',CdSis = 1694 } );";;;;
51;1732;'COMORES, ILHAS';"builder.HasData( new PaisEntity { ID = 51, Nome = 'COMORES, ILHAS',CdSis = 1732 } );";;;;
52;1775;'CONGO';"builder.HasData( new PaisEntity { ID = 52, Nome = 'CONGO',CdSis = 1775 } );";;;;
53;1830;'COOK, ILHAS';"builder.HasData( new PaisEntity { ID = 53, Nome = 'COOK, ILHAS',CdSis = 1830 } );";;;;
54;1872;'COREIA (DO NORTE), REP.POP.DEMOCRATICA';"builder.HasData( new PaisEntity { ID = 54, Nome = 'COREIA (DO NORTE), REP.POP.DEMOCRATICA',CdSis = 1872 } );";;;;
55;1902;'COREIA (DO SUL), REPUBLICA DA';"builder.HasData( new PaisEntity { ID = 55, Nome = 'COREIA (DO SUL), REPUBLICA DA',CdSis = 1902 } );";;;;
56;1937;'COSTA DO MARFIM';"builder.HasData( new PaisEntity { ID = 56, Nome = 'COSTA DO MARFIM',CdSis = 1937 } );";;;;
57;1953;'CROACIA (REPUBLICA DA)';"builder.HasData( new PaisEntity { ID = 57, Nome = 'CROACIA (REPUBLICA DA)',CdSis = 1953 } );";;;;
58;1961;'COSTA RICA';"builder.HasData( new PaisEntity { ID = 58, Nome = 'COSTA RICA',CdSis = 1961 } );";;;;
59;1988;'COVEITE';"builder.HasData( new PaisEntity { ID = 59, Nome = 'COVEITE',CdSis = 1988 } );";;;;
60;1996;'CUBA';"builder.HasData( new PaisEntity { ID = 60, Nome = 'CUBA',CdSis = 1996 } );";;;;
61;2291;'BENIN';"builder.HasData( new PaisEntity { ID = 61, Nome = 'BENIN',CdSis = 2291 } );";;;;
62;2321;'DINAMARCA';"builder.HasData( new PaisEntity { ID = 62, Nome = 'DINAMARCA',CdSis = 2321 } );";;;;
63;2356;'DOMINICA,ILHA';"builder.HasData( new PaisEntity { ID = 63, Nome = 'DOMINICA,ILHA',CdSis = 2356 } );";;;;
64;2399;'EQUADOR';"builder.HasData( new PaisEntity { ID = 64, Nome = 'EQUADOR',CdSis = 2399 } );";;;;
65;2402;'EGITO';"builder.HasData( new PaisEntity { ID = 65, Nome = 'EGITO',CdSis = 2402 } );";;;;
66;2437;'ERITREIA';"builder.HasData( new PaisEntity { ID = 66, Nome = 'ERITREIA',CdSis = 2437 } );";;;;
67;2445;'EMIRADOS ARABES UNIDOS';"builder.HasData( new PaisEntity { ID = 67, Nome = 'EMIRADOS ARABES UNIDOS',CdSis = 2445 } );";;;;
68;2453;'ESPANHA';"builder.HasData( new PaisEntity { ID = 68, Nome = 'ESPANHA',CdSis = 2453 } );";;;;
69;2461;'ESLOVENIA, REPUBLICA DA';"builder.HasData( new PaisEntity { ID = 69, Nome = 'ESLOVENIA, REPUBLICA DA',CdSis = 2461 } );";;;;
70;2470;'ESLOVACA, REPUBLICA';"builder.HasData( new PaisEntity { ID = 70, Nome = 'ESLOVACA, REPUBLICA',CdSis = 2470 } );";;;;
71;2496;'ESTADOS UNIDOS';"builder.HasData( new PaisEntity { ID = 71, Nome = 'ESTADOS UNIDOS',CdSis = 2496 } );";;;;
72;2518;'ESTONIA, REPUBLICA DA';"builder.HasData( new PaisEntity { ID = 72, Nome = 'ESTONIA, REPUBLICA DA',CdSis = 2518 } );";;;;
73;2534;'ETIOPIA';"builder.HasData( new PaisEntity { ID = 73, Nome = 'ETIOPIA',CdSis = 2534 } );";;;;
74;2550;'FALKLAND (ILHAS MALVINAS)';"builder.HasData( new PaisEntity { ID = 74, Nome = 'FALKLAND (ILHAS MALVINAS)',CdSis = 2550 } );";;;;
